Positioning Distance2,30,,,,,,,,1760
Curve Pt X,30,,,,,,,,
Curve Pt Y,30,,,,,,,,
Curve Pt Z,30,,,,,,,,
Link Is Hidden,30,,,,,,,,false
Street Name Is Hidden,30,,,,,,,,false
Up ID,31,,,,,32,27,33,
Lanes,31,,,,,3,5,4,
Name,31,,,,,Mountain View Blvd,Grand Ave,Grand Ave,
Distance,31,,,,,456,2453,2608,
Speed,31,,,,,25,45,45,
Time,31,,,,,12.4,37.2,39.5,
Grade,31,,,,,0,0,0,
Median,31,,,,,24,24,24,
Offset,31,,,,,0,0,0,
TWLTL,31,,,,,0,0,0,
Crosswalk Width,31,,,,,16,16,16,
Mandatory Distance,31,,,,,583,583,583,
Mandatory Distance2,31,,,,,1101,1980,1980,
Positioning Distance,31,,,,,734,1320,1320,
Positioning Distance2,31,,,,,1468,2640,2640,
Curve Pt X,31,,,,,,,,
Curve Pt Y,31,,,,,,,,
Curve Pt Z,31,,,,,,,,
Link Is Hidden,31,,,,,false,false,false,
Street Name Is Hidden,31,,,,,false,false,false,
Up ID,32,,,,,,,,31
Lanes,32,,,,,,,,2
Name,32,,,,,,,,Mountain View Blvd
Distance,32,,,,,,,,456
Speed,32,,,,,,,,30
Time,32,,,,,,,,10.4
Grade,32,,,,,,,,0
Median,32,,,,,,,,12
Offset,32,,,,,,,,0
TWLTL,32,,,,,,,,0
Crosswalk Width,32,,,,,,,,16
Mandatory Distance,32,,,,,,,,200
Mandatory Distance2,32,,,,,,,,1320
Positioning Distance,32,,,,,,,,880
Positioning Distance2,32,,,,,,,,1760
Curve Pt X,32,,,,,,,,
Curve Pt Y,32,,,,,,,,
Curve Pt Z,32,,,,,,,,
Link Is Hidden,32,,,,,,,,false
Street Name Is Hidden,32,,,,,,,,false
Up ID,33,,,,,35,31,34,
Lanes,33,,,,,2,4,4,
Name,33,,,,,Parkview Pl,Grand Ave,Grand Ave,
Distance,33,,,,,375,2608,1440,
Speed,33,,,,,25,45,45,
Time,33,,,,,10.2,39.5,21.8,
Grade,33,,,,,0,0,0,
Median,33,,,,,12,24,24,
Offset,33,,,,,0,0,0,
TWLTL,33,,,,,1,0,0,
Crosswalk Width,33,,,,,16,16,16,
Mandatory Distance,33,,,,,583,583,583,
