node_id,x_coord,y_coord,node_type,INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed,INTID_base,TYPE_DESC
249,-111.91773663609001,33.429228862964045,Signalized,249,0,23467,29330,0,,,,,,,0,Signalized
250,-111.9654621347568,33.37833098053617,Signalized,250,0,8900,10810,0,,,,,,,0,Signalized
251,-111.96097647660753,33.38470768423416,Signalized,251,0,10270,13130,0,,,,,,,0,Signalized
252,-111.96163040072675,33.38061281479227,Signalized,252,0,10070,11640,0,,,,,,,0,Signalized
253,-111.92832138839718,33.32381105741168,Signalized,253,0,20240,-9030,0,,,,,,,0,Signalized
254,-111.89264376080318,33.33597833199447,Unsignalized,254,3,31137,-4600,0,,,,,,,0,Unsignalized
255,-111.92536334046487,33.34201744741082,External Node,255,1,21143,-2405,0,,,,,,,0,External Node
256,-111.89357158093917,33.33328544633806,External Node,256,1,30854,-5580,0,,,,,,,0,External Node
257,-111.89266470564137,33.333301628091746,External Node,257,1,31131,-5574,0,,,,,,,0,External Node
258,-111.96546201196863,33.377976469966406,External Node,258,1,8900,10681,0,,,,,,,0,External Node
259,-111.97195456805183,33.37890358996506,External Node,259,1,6918,11019,0,,,,,,,0,External Node
260,-111.93148285067383,33.34200953679896,External Node,260,1,19274,-2408,0,,,,,,,0,External Node
261,-111.96310118032468,33.31904553693413,External Node,261,1,9615,-10763,0,,,,,,,0,External Node
262,-111.91123821442785,33.33063538346385,External Node,262,1,25458,-6546,0,,,,,,,0,External Node
263,-111.92825948243956,33.320136751708354,External Node,263,1,20259,-10367,0,,,,,,,0,External Node
264,-111.97824063510475,33.4191727363079,Unsignalized,264,3,5005,25673,0,,,,,,,0,Unsignalized
265,-111.9297942525215,33.32748268214282,External Node,265,1,19790,-7694,0,,,,,,,0,External Node
266,-111.92674646356248,33.32748251214986,External Node,266,1,20721,-7694,0,,,,,,,0,External Node
267,-111.92947694699504,33.32380012333773,External Node,267,1,19887,-9034,0,,,,,,,0,External Node
268,-111.89369788388689,33.33619304536638,Unsignalized,268,3,30815,-4522,0,,,,,,,0,Unsignalized
269,-111.945629009645,33.32751533987283,External Node,269,1,14953,-7682,0,,,,,,,0,External Node
270,-111.93859808781524,33.35143572874802,External Node,270,1,17101,1022,0,,,,,,,0,External Node
271,-111.96147440548006,33.384724068671574,External Node,271,1,10118,13136,0,,,,,,,0,External Node
272,-111.96686184672281,33.33598433445822,Bend,272,2,8468,-4599,0,,,,,,,0,Bend
273,-111.96693286109362,33.33318943407514,External Node,273,1,8446,-5616,0,,,,,,,0,External Node
274,-111.93938189096585,33.376127838909596,External Node,274,1,16862,10007,0,,,,,,,0,External Node
275,-111.91368581151002,33.41533645624378,External Node,275,1,24704,24275,0,,,,,,,0,External Node
