RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Street Name Is Hidden,7030,,,FALSE,,,,,
Up ID,7031,,,344,,,,,
Lanes,7031,,,1,,,,,
Name,7031,,,US 60 EB,,,,,
Distance,7031,,,601,,,,,
Speed,7031,,,30,,,,,
Time,7031,,,13.7,,,,,
Grade,7031,,,0,,,,,
Median,7031,,,0,,,,,
Offset,7031,,,0,,,,,
TWLTL,7031,,,0,,,,,
Crosswalk Width,7031,,,16,,,,,
Mandatory Distance,7031,,,200,,,,,
Mandatory Distance2,7031,,,1320,,,,,
Positioning Distance,7031,,,880,,,,,
Positioning Distance2,7031,,,1760,,,,,
Curve Pt X,7031,,,,,,,,
Curve Pt Y,7031,,,,,,,,
Curve Pt Z,7031,,,,,,,,
Link Is Hidden,7031,,,FALSE,,,,,
Street Name Is Hidden,7031,,,FALSE,,,,,
Up ID,7033,,,,344,,,,
Lanes,7033,,,,0,,,,
Name,7033,,,,US 60 EB,,,,
Distance,7033,,,,594,,,,
Speed,7033,,,,30,,,,
Time,7033,,,,13.5,,,,
Grade,7033,,,,0,,,,
Median,7033,,,,12,,,,
Offset,7033,,,,0,,,,
TWLTL,7033,,,,0,,,,
Crosswalk Width,7033,,,,16,,,,
Mandatory Distance,7033,,,,200,,,,
Mandatory Distance2,7033,,,,1320,,,,
Positioning Distance,7033,,,,880,,,,
Positioning Distance2,7033,,,,1760,,,,
Curve Pt X,7033,,,,,,,,
Curve Pt Y,7033,,,,,,,,
Curve Pt Z,7033,,,,,,,,
Link Is Hidden,7033,,,,FALSE,,,,
Street Name Is Hidden,7033,,,,FALSE,,,,
Up ID,7034,,,,144,,,,
Lanes,7034,,,,2,,,,
Name,7034,,,,US 60 WB,,,,
Distance,7034,,,,603,,,,
Speed,7034,,,,30,,,,
Time,7034,,,,13.7,,,,
Grade,7034,,,,0,,,,
Median,7034,,,,0,,,,
Offset,7034,,,,0,,,,
TWLTL,7034,,,,0,,,,
Crosswalk Width,7034,,,,16,,,,
Mandatory Distance,7034,,,,200,,,,
Mandatory Distance2,7034,,,,1320,,,,
Positioning Distance,7034,,,,880,,,,
Positioning Distance2,7034,,,,1760,,,,
Curve Pt X,7034,,,,,,,,
Curve Pt Y,7034,,,,,,,,
Curve Pt Z,7034,,,,,,,,
Link Is Hidden,7034,,,,FALSE,,,,
Street Name Is Hidden,7034,,,,FALSE,,,,
Up ID,7035,,129,,,,,,
Lanes,7035,,1,,,,,,
Name,7035,,Dorsey Ave,,,,,,
Distance,7035,,800,,,,,,
Speed,7035,,30,,,,,,
Time,7035,,18.2,,,,,,
Grade,7035,,0,,,,,,
Median,7035,,12,,,,,,
Offset,7035,,0,,,,,,
TWLTL,7035,,0,,,,,,
Crosswalk Width,7035,,16,,,,,,
Mandatory Distance,7035,,200,,,,,,
Mandatory Distance2,7035,,1320,,,,,,
Positioning Distance,7035,,880,,,,,,
Positioning Distance2,7035,,1760,,,,,,
Curve Pt X,7035,,,,,,,,
Curve Pt Y,7035,,,,,,,,
Curve Pt Z,7035,,,,,,,,
Link Is Hidden,7035,,FALSE,,,,,,
Street Name Is Hidden,7035,,FALSE,,,,,,
Up ID,7036,,128,,,,,,
Lanes,7036,,1,,,,,,
Name,7036,,Terrace Rd,,,,,,
Distance,7036,,800,,,,,,
Speed,7036,,30,,,,,,
Time,7036,,18.2,,,,,,
Grade,7036,,0,,,,,,
Median,7036,,0,,,,,,
Offset,7036,,0,,,,,,
TWLTL,7036,,0,,,,,,
Crosswalk Width,7036,,16,,,,,,
Mandatory Distance,7036,,200,,,,,,
Mandatory Distance2,7036,,1320,,,,,,
Positioning Distance,7036,,880,,,,,,
Positioning Distance2,7036,,1760,,,,,,
Curve Pt X,7036,,,,,,,,
Curve Pt Y,7036,,,,,,,,
Curve Pt Z,7036,,,,,,,,
Link Is Hidden,7036,,FALSE,,,,,,
Street Name Is Hidden,7036,,FALSE,,,,,,
Up ID,7037,,,142,,,,,
Lanes,7037,,,0,,,,,
Name,7037,,,US 60 WB,,,,,
Distance,7037,,,602,,,,,
Speed,7037,,,30,,,,,
Time,7037,,,13.7,,,,,
Grade,7037,,,0,,,,,
Median,7037,,,12,,,,,
Offset,7037,,,0,,,,,
TWLTL,7037,,,0,,,,,
Crosswalk Width,7037,,,16,,,,,
Mandatory Distance,7037,,,200,,,,,
Mandatory Distance2,7037,,,1320,,,,,
Positioning Distance,7037,,,880,,,,,
Positioning Distance2,7037,,,1760,,,,,
Curve Pt X,7037,,,,,,,,
Curve Pt Y,7037,,,,,,,,
Curve Pt Z,7037,,,,,,,,
Link Is Hidden,7037,,,FALSE,,,,,
Street Name Is Hidden,7037,,,FALSE,,,,,
Up ID,7038,,,342,,,,,
Lanes,7038,,,1,,,,,
Name,7038,,,US 60 EB,,,,,
Distance,7038,,,604,,,,,
Speed,7038,,,30,,,,,
Time,7038,,,13.7,,,,,
Grade,7038,,,0,,,,,
Median,7038,,,0,,,,,
Offset,7038,,,0,,,,,
TWLTL,7038,,,0,,,,,
Crosswalk Width,7038,,,16,,,,,
Mandatory Distance,7038,,,200,,,,,
Mandatory Distance2,7038,,,1320,,,,,
Positioning Distance,7038,,,880,,,,,
Positioning Distance2,7038,,,1760,,,,,
Curve Pt X,7038,,,,,,,,
Curve Pt Y,7038,,,,,,,,
Curve Pt Z,7038,,,,,,,,
Link Is Hidden,7038,,,FALSE,,,,,
Street Name Is Hidden,7038,,,FALSE,,,,,
Up ID,7040,,,,342,,,,
Lanes,7040,,,,0,,,,
Name,7040,,,,US 60 EB,,,,
Distance,7040,,,,602,,,,
Speed,7040,,,,30,,,,
Time,7040,,,,13.7,,,,
Grade,7040,,,,0,,,,
Median,7040,,,,12,,,,
Offset,7040,,,,0,,,,
TWLTL,7040,,,,0,,,,
Crosswalk Width,7040,,,,16,,,,
Mandatory Distance,7040,,,,200,,,,
Mandatory Distance2,7040,,,,1320,,,,
Positioning Distance,7040,,,,880,,,,
Positioning Distance2,7040,,,,1760,,,,
Curve Pt X,7040,,,,,,,,
Curve Pt Y,7040,,,,,,,,
Curve Pt Z,7040,,,,,,,,
Link Is Hidden,7040,,,,FALSE,,,,
Street Name Is Hidden,7040,,,,FALSE,,,,
Up ID,7041,,,,142,,,,
Lanes,7041,,,,2,,,,
Name,7041,,,,US 60 WB,,,,
Distance,7041,,,,604,,,,
Speed,7041,,,,30,,,,
Time,7041,,,,13.7,,,,
Grade,7041,,,,0,,,,
Median,7041,,,,0,,,,
Offset,7041,,,,0,,,,
TWLTL,7041,,,,0,,,,
Crosswalk Width,7041,,,,16,,,,
Mandatory Distance,7041,,,,200,,,,
Mandatory Distance2,7041,,,,1320,,,,
Positioning Distance,7041,,,,880,,,,
Positioning Distance2,7041,,,,1760,,,,
Curve Pt X,7041,,,,,,,,
Curve Pt Y,7041,,,,,,,,
Curve Pt Z,7041,,,,,,,,
Link Is Hidden,7041,,,,FALSE,,,,
Street Name Is Hidden,7041,,,,FALSE,,,,
Up ID,7042,,5266,,,,,,
Lanes,7042,,2,,,,,,
Name,7042,,College Avenue,,,,,,
Distance,7042,,1300,,,,,,
Speed,7042,,30,,,,,,
Time,7042,,29.5,,,,,,
Grade,7042,,0,,,,,,
Median,7042,,0,,,,,,
Offset,7042,,0,,,,,,
TWLTL,7042,,0,,,,,,
Crosswalk Width,7042,,16,,,,,,
Mandatory Distance,7042,,200,,,,,,
Mandatory Distance2,7042,,1320,,,,,,
Positioning Distance,7042,,880,,,,,,
Positioning Distance2,7042,,1760,,,,,,
Curve Pt X,7042,,,,,,,,
Curve Pt Y,7042,,,,,,,,
Curve Pt Z,7042,,,,,,,,
Link Is Hidden,7042,,FALSE,,,,,,
Street Name Is Hidden,7042,,FALSE,,,,,,
Up ID,7043,,,139,,,,,
Lanes,7043,,,1,,,,,
Name,7043,,,Hermosa Drive,,,,,
Distance,7043,,,648,,,,,
Speed,7043,,,30,,,,,
Time,7043,,,14.7,,,,,
Grade,7043,,,0,,,,,
Median,7043,,,12,,,,,
Offset,7043,,,0,,,,,
TWLTL,7043,,,0,,,,,
Crosswalk Width,7043,,,16,,,,,
Mandatory Distance,7043,,,200,,,,,
Mandatory Distance2,7043,,,1320,,,,,
Positioning Distance,7043,,,880,,,,,
Positioning Distance2,7043,,,1760,,,,,
Curve Pt X,7043,,,,,,,,
Curve Pt Y,7043,,,,,,,,
Curve Pt Z,7043,,,,,,,,
Link Is Hidden,7043,,,FALSE,,,,,
Street Name Is Hidden,7043,,,FALSE,,,,,
Up ID,7044,,,141,,,,,
Lanes,7044,,,0,,,,,
Name,7044,,,US 60 WB,,,,,
Distance,7044,,,806,,,,,
Speed,7044,,,30,,,,,
Time,7044,,,18.3,,,,,
Grade,7044,,,0,,,,,
Median,7044,,,12,,,,,
Offset,7044,,,0,,,,,
TWLTL,7044,,,0,,,,,
Crosswalk Width,7044,,,16,,,,,
Mandatory Distance,7044,,,200,,,,,
Mandatory Distance2,7044,,,1320,,,,,
Positioning Distance,7044,,,880,,,,,
Positioning Distance2,7044,,,1760,,,,,
Curve Pt X,7044,,,,,,,,
Curve Pt Y,7044,,,,,,,,
Curve Pt Z,7044,,,,,,,,
Link Is Hidden,7044,,,FALSE,,,,,
Street Name Is Hidden,7044,,,FALSE,,,,,
Up ID,7045,,,341,,,,,
Lanes,7045,,,2,,,,,
Name,7045,,,US 60 EB,,,,,
Distance,7045,,,806,,,,,
Speed,7045,,,30,,,,,
Time,7045,,,18.3,,,,,
Grade,7045,,,0,,,,,
Median,7045,,,0,,,,,
Offset,7045,,,0,,,,,
TWLTL,7045,,,0,,,,,
Crosswalk Width,7045,,,16,,,,,
Mandatory Distance,7045,,,200,,,,,
Mandatory Distance2,7045,,,1320,,,,,
Positioning Distance,7045,,,880,,,,,
Positioning Distance2,7045,,,1760,,,,,
Curve Pt X,7045,,,,,,,,
Curve Pt Y,7045,,,,,,,,
Curve Pt Z,7045,,,,,,,,
Link Is Hidden,7045,,,FALSE,,,,,
Street Name Is Hidden,7045,,,FALSE,,,,,
Up ID,7046,162,5269,,,,,,
Lanes,7046,2,2,,,,,,
Name,7046,Mill Avenue,Mill Avenue,,,,,,
Distance,7046,504,1781,,,,,,
Speed,7046,30,30,,,,,,
Time,7046,11.5,40.5,,,,,,
Grade,7046,0,0,,,,,,
Median,7046,12,12,,,,,,
Offset,7046,0,0,,,,,,
TWLTL,7046,0,0,,,,,,
Crosswalk Width,7046,16,16,,,,,,
Mandatory Distance,7046,100,100,,,,,,
Mandatory Distance2,7046,1320,1320,,,,,,
Positioning Distance,7046,880,880,,,,,,
Positioning Distance2,7046,1760,1760,,,,,,
Curve Pt X,7046,,,,,,,,
Curve Pt Y,7046,,,,,,,,
Curve Pt Z,7046,,,,,,,,
Link Is Hidden,7046,FALSE,FALSE,,,,,,
Street Name Is Hidden,7046,FALSE,FALSE,,,,,,
Up ID,7047,,,,341,,,,
Lanes,7047,,,,0,,,,
Name,7047,,,,US 60 EB,,,,
Distance,7047,,,,806,,,,
Speed,7047,,,,30,,,,
Time,7047,,,,18.3,,,,
Grade,7047,,,,0,,,,
Median,7047,,,,12,,,,
Offset,7047,,,,0,,,,
TWLTL,7047,,,,0,,,,
Crosswalk Width,7047,,,,16,,,,
Mandatory Distance,7047,,,,200,,,,
Mandatory Distance2,7047,,,,1320,,,,
Positioning Distance,7047,,,,880,,,,
Positioning Distance2,7047,,,,1760,,,,
Curve Pt X,7047,,,,,,,,
Curve Pt Y,7047,,,,,,,,
Curve Pt Z,7047,,,,,,,,
Link Is Hidden,7047,,,,FALSE,,,,
Street Name Is Hidden,7047,,,,FALSE,,,,
Up ID,7048,,,,141,,,,
Lanes,7048,,,,1,,,,
Name,7048,,,,US 60 WB,,,,
Distance,7048,,,,806,,,,
Speed,7048,,,,30,,,,
Time,7048,,,,18.3,,,,
Grade,7048,,,,0,,,,
Median,7048,,,,0,,,,
Offset,7048,,,,0,,,,
TWLTL,7048,,,,0,,,,
Crosswalk Width,7048,,,,16,,,,
Mandatory Distance,7048,,,,200,,,,
Mandatory Distance2,7048,,,,1320,,,,
Positioning Distance,7048,,,,880,,,,
Positioning Distance2,7048,,,,1760,,,,
Curve Pt X,7048,,,,,,,,
Curve Pt Y,7048,,,,,,,,
Curve Pt Z,7048,,,,,,,,
Link Is Hidden,7048,,,,FALSE,,,,
Street Name Is Hidden,7048,,,,FALSE,,,,
Up ID,7049,,,,5267,,,,
Lanes,7049,,,,1,,,,
Name,7049,,,,Hermosa Drive,,,,
Distance,7049,,,,500,,,,
Speed,7049,,,,30,,,,
Time,7049,,,,11.4,,,,
Grade,7049,,,,0,,,,
Median,7049,,,,0,,,,
Offset,7049,,,,0,,,,
TWLTL,7049,,,,0,,,,
Crosswalk Width,7049,,,,16,,,,
Mandatory Distance,7049,,,,200,,,,
Mandatory Distance2,7049,,,,1320,,,,
Positioning Distance,7049,,,,880,,,,
Positioning Distance2,7049,,,,1760,,,,
Curve Pt X,7049,,,,,,,,
Curve Pt Y,7049,,,,,,,,
Curve Pt Z,7049,,,,,,,,
Link Is Hidden,7049,,,,FALSE,,,,
Street Name Is Hidden,7049,,,,FALSE,,,,
Up ID,7050,,123,,,,,,
Lanes,7050,,1,,,,,,
Name,7050,,Kyrene Rd.,,,,,,
Distance,7050,,800,,,,,,
Speed,7050,,30,,,,,,
Time,7050,,18.2,,,,,,
Grade,7050,,0,,,,,,
Median,7050,,12,,,,,,
Offset,7050,,0,,,,,,
TWLTL,7050,,0,,,,,,
Crosswalk Width,7050,,16,,,,,,
Mandatory Distance,7050,,200,,,,,,
Mandatory Distance2,7050,,1320,,,,,,
Positioning Distance,7050,,880,,,,,,
Positioning Distance2,7050,,1760,,,,,,
Curve Pt X,7050,,,,,,,,
Curve Pt Y,7050,,,,,,,,
Curve Pt Z,7050,,,,,,,,
Link Is Hidden,7050,,FALSE,,,,,,
Street Name Is Hidden,7050,,FALSE,,,,,,
Up ID,7051,,122,,,,,,
Lanes,7051,,1,,,,,,
Name,7051,,Roosevelt Street,,,,,,
Distance,7051,,800,,,,,,
Speed,7051,,30,,,,,,
Time,7051,,18.2,,,,,,
Grade,7051,,0,,,,,,
Median,7051,,12,,,,,,
Offset,7051,,0,,,,,,
TWLTL,7051,,0,,,,,,
Crosswalk Width,7051,,16,,,,,,
Mandatory Distance,7051,,200,,,,,,
Mandatory Distance2,7051,,1320,,,,,,
Positioning Distance,7051,,880,,,,,,
Positioning Distance2,7051,,1760,,,,,,
Curve Pt X,7051,,,,,,,,
Curve Pt Y,7051,,,,,,,,
Curve Pt Z,7051,,,,,,,,
Link Is Hidden,7051,,FALSE,,,,,,
Street Name Is Hidden,7051,,FALSE,,,,,,
Up ID,7053,252,251,,,,,,
Lanes,7053,3,3,,,,,,
Name,7053,Priest Drive,Priest Drive,,,,,,
Distance,7053,464,1072,,,,,,
Speed,7053,40,30,,,,,,
Time,7053,7.9,24.4,,,,,,
Grade,7053,0,0,,,,,,
Median,7053,12,12,,,,,,
Offset,7053,0,0,,,,,,
TWLTL,7053,0,0,,,,,,
Crosswalk Width,7053,16,16,,,,,,
Mandatory Distance,7053,100,100,,,,,,
Mandatory Distance2,7053,1761,1320,,,,,,
Positioning Distance,7053,1174,880,,,,,,
Positioning Distance2,7053,2348,1760,,,,,,
Curve Pt X,7053,10236,,,,,,,
Curve Pt Y,7053,11868,,,,,,,
Curve Pt Z,7053,0,,,,,,,
Link Is Hidden,7053,FALSE,FALSE,,,,,,
Street Name Is Hidden,7053,FALSE,FALSE,,,,,,
Up ID,7054,,,,5288,65,,,62
Lanes,7054,,,,2,1,,,1
Name,7054,,,,Lemon Street,McAllister Avenue,,,McAllister Avenue
Distance,7054,,,,376,432,,,639
Speed,7054,,,,30,30,,,30
Time,7054,,,,8.5,9.8,,,14.5
Grade,7054,,,,0,0,,,0
Median,7054,,,,12,12,,,12
Offset,7054,,,,0,0,,,0
TWLTL,7054,,,,0,0,,,0
Crosswalk Width,7054,,,,16,16,,,16
Mandatory Distance,7054,,,,200,200,,,200
Mandatory Distance2,7054,,,,1320,1320,,,1320
Positioning Distance,7054,,,,880,880,,,880
Positioning Distance2,7054,,,,1760,1760,,,1760
Curve Pt X,7054,,,,,19835,,,20057
Curve Pt Y,7054,,,,,24649,,,24936
Curve Pt Z,7054,,,,,0,,,0
Link Is Hidden,7054,,,,FALSE,FALSE,,,FALSE
Street Name Is Hidden,7054,,,,FALSE,FALSE,,,FALSE
Up ID,7055,,,,5242,,,,
Lanes,7055,,,,1,,,,
Name,7055,,,,Fairmont Dr,,,,
Distance,7055,,,,380,,,,
Speed,7055,,,,30,,,,
Time,7055,,,,8.6,,,,
Grade,7055,,,,0,,,,
Median,7055,,,,0,,,,
Offset,7055,,,,0,,,,
TWLTL,7055,,,,0,,,,
Crosswalk Width,7055,,,,16,,,,
Mandatory Distance,7055,,,,200,,,,
Mandatory Distance2,7055,,,,1320,,,,
Positioning Distance,7055,,,,880,,,,
Positioning Distance2,7055,,,,1760,,,,
Curve Pt X,7055,,,,,,,,
Curve Pt Y,7055,,,,,,,,
Curve Pt Z,7055,,,,,,,,
Link Is Hidden,7055,,,,FALSE,,,,
Street Name Is Hidden,7055,,,,FALSE,,,,
Up ID,7057,,,,104,,,,
Lanes,7057,,,,1,,,,
Name,7057,,,,Fountainhead Pkwy,,,,
Distance,7057,,,,800,,,,
Speed,7057,,,,30,,,,
Time,7057,,,,18.2,,,,
Grade,7057,,,,0,,,,
Median,7057,,,,12,,,,
Offset,7057,,,,0,,,,
TWLTL,7057,,,,0,,,,
Crosswalk Width,7057,,,,16,,,,
Mandatory Distance,7057,,,,200,,,,
Mandatory Distance2,7057,,,,1320,,,,
Positioning Distance,7057,,,,880,,,,
Positioning Distance2,7057,,,,1760,,,,
Curve Pt X,7057,,,,,,,,
Curve Pt Y,7057,,,,,,,,
Curve Pt Z,7057,,,,,,,,
Link Is Hidden,7057,,,,FALSE,,,,
Street Name Is Hidden,7057,,,,FALSE,,,,
Up ID,7059,,,67,,,68,,
Lanes,7059,,,1,,,1,,
Name,7059,,,14th Street,,,14th Street,,
Distance,7059,,,2024,,,643,,
Speed,7059,,,35,,,35,,
Time,7059,,,39.4,,,12.5,,
Grade,7059,,,0,,,0,,
Median,7059,,,12,,,12,,
Offset,7059,,,0,,,0,,
TWLTL,7059,,,0,,,0,,
Crosswalk Width,7059,,,16,,,16,,
Mandatory Distance,7059,,,100,,,100,,
Mandatory Distance2,7059,,,1539,,,1539,,
Positioning Distance,7059,,,1026,,,1026,,
Positioning Distance2,7059,,,2052,,,2052,,
Curve Pt X,7059,,,,,,9857,,
Curve Pt Y,7059,,,,,,23634,,
Curve Pt Z,7059,,,,,,0,,
Link Is Hidden,7059,,,FALSE,,,FALSE,,
Street Name Is Hidden,7059,,,FALSE,,,FALSE,,
Up ID,7060,,,,747,,,,
Lanes,7060,,,,2,,,,
Name,7060,,,,University Drive,,,,
Distance,7060,,,,1771,,,,
Speed,7060,,,,40,,,,
Time,7060,,,,30.2,,,,
Grade,7060,,,,0,,,,
Median,7060,,,,24,,,,
Offset,7060,,,,0,,,,
TWLTL,7060,,,,0,,,,
Crosswalk Width,7060,,,,16,,,,
Mandatory Distance,7060,,,,200,,,,
Mandatory Distance2,7060,,,,1761,,,,
Positioning Distance,7060,,,,1174,,,,
Positioning Distance2,7060,,,,2348,,,,
Curve Pt X,7060,,,,,,,,
Curve Pt Y,7060,,,,,,,,
Curve Pt Z,7060,,,,,,,,
Link Is Hidden,7060,,,,FALSE,,,,
Street Name Is Hidden,7060,,,,FALSE,,,,
Up ID,7061,,,,24,,,,
Lanes,7061,,,,1,,,,
Name,7061,,,,5th Street,,,,
Distance,7061,,,,800,,,,
Speed,7061,,,,30,,,,
Time,7061,,,,18.2,,,,
Grade,7061,,,,0,,,,
Median,7061,,,,12,,,,
Offset,7061,,,,0,,,,
TWLTL,7061,,,,0,,,,
Crosswalk Width,7061,,,,16,,,,
Mandatory Distance,7061,,,,200,,,,
Mandatory Distance2,7061,,,,1320,,,,
Positioning Distance,7061,,,,880,,,,
Positioning Distance2,7061,,,,1760,,,,
Curve Pt X,7061,,,,,,,,
Curve Pt Y,7061,,,,,,,,
Curve Pt Z,7061,,,,,,,,
Link Is Hidden,7061,,,,FALSE,,,,
Street Name Is Hidden,7061,,,,FALSE,,,,
Up ID,7201,,,24,,,,,
Lanes,7201,,,1,,,,,
Name,7201,,,5th Street,,,,,
Distance,7201,,,800,,,,,
Speed,7201,,,30,,,,,
Time,7201,,,18.2,,,,,
Grade,7201,,,0,,,,,
Median,7201,,,12,,,,,
Offset,7201,,,0,,,,,
TWLTL,7201,,,0,,,,,
Crosswalk Width,7201,,,16,,,,,
Mandatory Distance,7201,,,200,,,,,
Mandatory Distance2,7201,,,1320,,,,,
Positioning Distance,7201,,,880,,,,,
Positioning Distance2,7201,,,1760,,,,,
Curve Pt X,7201,,,,,,,,
Curve Pt Y,7201,,,,,,,,
Curve Pt Z,7201,,,,,,,,
Link Is Hidden,7201,,,FALSE,,,,,
Street Name Is Hidden,7201,,,FALSE,,,,,
Up ID,7202,,,,5203,,,,
Lanes,7202,,,,1,,,,
Name,7202,,,,1st Street,,,,
Distance,7202,,,,266,,,,
Speed,7202,,,,30,,,,
Time,7202,,,,6,,,,
Grade,7202,,,,0,,,,
Median,7202,,,,0,,,,
Offset,7202,,,,0,,,,
TWLTL,7202,,,,0,,,,
Crosswalk Width,7202,,,,16,,,,
Mandatory Distance,7202,,,,200,,,,
Mandatory Distance2,7202,,,,1320,,,,
Positioning Distance,7202,,,,880,,,,
Positioning Distance2,7202,,,,1760,,,,
Curve Pt X,7202,,,,,,,,
Curve Pt Y,7202,,,,,,,,
Curve Pt Z,7202,,,,,,,,
Link Is Hidden,7202,,,,FALSE,,,,
Street Name Is Hidden,7202,,,,FALSE,,,,
Up ID,7203,,,,16,,,,
Lanes,7203,,,,1,,,,
Name,7203,,,,Rio Salado Parkway,,,,
Distance,7203,,,,176,,,,
Speed,7203,,,,30,,,,
Time,7203,,,,4,,,,
Grade,7203,,,,0,,,,
Median,7203,,,,0,,,,
Offset,7203,,,,0,,,,
TWLTL,7203,,,,0,,,,
Crosswalk Width,7203,,,,16,,,,
Mandatory Distance,7203,,,,200,,,,
Mandatory Distance2,7203,,,,1320,,,,
Positioning Distance,7203,,,,880,,,,
Positioning Distance2,7203,,,,1760,,,,
Curve Pt X,7203,,,,,,,,
Curve Pt Y,7203,,,,,,,,
Curve Pt Z,7203,,,,,,,,
Link Is Hidden,7203,,,,FALSE,,,,
Street Name Is Hidden,7203,,,,FALSE,,,,
Up ID,7204,,,,509,,,,
Lanes,7204,,,,1,,,,
Name,7204,,,,3rd Street,,,,
Distance,7204,,,,500,,,,
Speed,7204,,,,30,,,,
Time,7204,,,,11.4,,,,
Grade,7204,,,,0,,,,
Median,7204,,,,12,,,,
Offset,7204,,,,0,,,,
TWLTL,7204,,,,0,,,,
Crosswalk Width,7204,,,,16,,,,
Mandatory Distance,7204,,,,200,,,,
Mandatory Distance2,7204,,,,1320,,,,
Positioning Distance,7204,,,,880,,,,
Positioning Distance2,7204,,,,1760,,,,
Curve Pt X,7204,,,,,,,,
Curve Pt Y,7204,,,,,,,,
Curve Pt Z,7204,,,,,,,,
Link Is Hidden,7204,,,,FALSE,,,,
Street Name Is Hidden,7204,,,,FALSE,,,,
Up ID,7205,,,,23,,,,
Lanes,7205,,,,1,,,,
Name,7205,,,,5th Street,,,,
Distance,7205,,,,1150,,,,
Speed,7205,,,,30,,,,
Time,7205,,,,26.1,,,,
Grade,7205,,,,0,,,,
Median,7205,,,,12,,,,
Offset,7205,,,,0,,,,
TWLTL,7205,,,,0,,,,
Crosswalk Width,7205,,,,16,,,,
Mandatory Distance,7205,,,,200,,,,
Mandatory Distance2,7205,,,,1320,,,,
Positioning Distance,7205,,,,880,,,,
Positioning Distance2,7205,,,,1760,,,,
Curve Pt X,7205,,,,,,,,
Curve Pt Y,7205,,,,,,,,
Curve Pt Z,7205,,,,,,,,
Link Is Hidden,7205,,,,FALSE,,,,
Street Name Is Hidden,7205,,,,FALSE,,,,
Up ID,7207,,,,60,,,,
Lanes,7207,,,,1,,,,
Name,7207,,,,10th Street,,,,
Distance,7207,,,,500,,,,
Speed,7207,,,,30,,,,
Time,7207,,,,11.4,,,,
Grade,7207,,,,0,,,,
Median,7207,,,,0,,,,
Offset,7207,,,,0,,,,
TWLTL,7207,,,,0,,,,
Crosswalk Width,7207,,,,16,,,,
Mandatory Distance,7207,,,,200,,,,
Mandatory Distance2,7207,,,,1320,,,,
Positioning Distance,7207,,,,880,,,,
Positioning Distance2,7207,,,,1760,,,,
Curve Pt X,7207,,,,,,,,
Curve Pt Y,7207,,,,,,,,
Curve Pt Z,7207,,,,,,,,
Link Is Hidden,7207,,,,FALSE,,,,
Street Name Is Hidden,7207,,,,FALSE,,,,
Up ID,7208,,,60,,,,,
Lanes,7208,,,1,,,,,
Name,7208,,,,,,,,
Distance,7208,,,500,,,,,
Speed,7208,,,30,,,,,
Time,7208,,,11.4,,,,,
Grade,7208,,,0,,,,,
Median,7208,,,0,,,,,
Offset,7208,,,0,,,,,
TWLTL,7208,,,0,,,,,
Crosswalk Width,7208,,,16,,,,,
Mandatory Distance,7208,,,200,,,,,
Mandatory Distance2,7208,,,1320,,,,,
Positioning Distance,7208,,,880,,,,,
Positioning Distance2,7208,,,1760,,,,,
Curve Pt X,7208,,,,,,,,
Curve Pt Y,7208,,,,,,,,
Curve Pt Z,7208,,,,,,,,
Link Is Hidden,7208,,,FALSE,,,,,
Street Name Is Hidden,7208,,,FALSE,,,,,
Up ID,7209,,44,,,,,,
Lanes,7209,,1,,,,,,
Name,7209,,Myrtle Avenue,,,,,,
Distance,7209,,500,,,,,,
Speed,7209,,30,,,,,,
Time,7209,,11.4,,,,,,
Grade,7209,,0,,,,,,
Median,7209,,0,,,,,,
Offset,7209,,0,,,,,,
TWLTL,7209,,0,,,,,,
Crosswalk Width,7209,,16,,,,,,
Mandatory Distance,7209,,200,,,,,,
Mandatory Distance2,7209,,1320,,,,,,
Positioning Distance,7209,,880,,,,,,
Positioning Distance2,7209,,1760,,,,,,
Curve Pt X,7209,,,,,,,,
Curve Pt Y,7209,,,,,,,,
Curve Pt Z,7209,,,,,,,,
Link Is Hidden,7209,,FALSE,,,,,,
Street Name Is Hidden,7209,,FALSE,,,,,,
Up ID,7210,,45,,,,,,
Lanes,7210,,1,,,,,,
Name,7210,,Forest,,,,,,
Distance,7210,,500,,,,,,
Speed,7210,,30,,,,,,
Time,7210,,11.4,,,,,,
Grade,7210,,0,,,,,,
Median,7210,,0,,,,,,
Offset,7210,,0,,,,,,
TWLTL,7210,,0,,,,,,
Crosswalk Width,7210,,16,,,,,,
Mandatory Distance,7210,,200,,,,,,
Mandatory Distance2,7210,,1320,,,,,,
Positioning Distance,7210,,880,,,,,,
Positioning Distance2,7210,,1760,,,,,,
Curve Pt X,7210,,,,,,,,
Curve Pt Y,7210,,,,,,,,
Curve Pt Z,7210,,,,,,,,
Link Is Hidden,7210,,FALSE,,,,,,
Street Name Is Hidden,7210,,FALSE,,,,,,
Up ID,7211,45,,,,,,,
Lanes,7211,1,,,,,,,
Name,7211,,,,,,,,
Distance,7211,500,,,,,,,
Speed,7211,30,,,,,,,
Time,7211,11.4,,,,,,,
Grade,7211,0,,,,,,,
Median,7211,0,,,,,,,
Offset,7211,0,,,,,,,
TWLTL,7211,0,,,,,,,
Crosswalk Width,7211,16,,,,,,,
Mandatory Distance,7211,200,,,,,,,
Mandatory Distance2,7211,1320,,,,,,,
Positioning Distance,7211,880,,,,,,,
Positioning Distance2,7211,1760,,,,,,,
Curve Pt X,7211,,,,,,,,
