RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Link Is Hidden,29,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,29,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,30,31,27,7215,7216,,,,
Lanes,30,3,3,2,2,,,,
Name,30,Mill Avenue,Mill Avenue,6th Street,6th Street,,,,
Distance,30,420,410,500,500,,,,
Speed,30,30,30,30,30,,,,
Time,30,9.5,9.3,11.4,11.4,,,,
Grade,30,0,0,0,0,,,,
Median,30,12,12,12,12,,,,
Offset,30,0,0,0,0,,,,
TWLTL,30,0,0,0,0,,,,
Crosswalk Width,30,16,16,16,16,,,,
Mandatory Distance,30,458,458,458,458,,,,
Mandatory Distance2,30,1320,1320,1320,1320,,,,
Positioning Distance,30,880,880,880,880,,,,
Positioning Distance2,30,1760,1760,1760,1760,,,,
Curve Pt X,30,,,,,,,,
Curve Pt Y,30,,,,,,,,
Curve Pt Z,30,,,,,,,,
Link Is Hidden,30,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,30,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,31,43,30,7214,7213,,,,
Lanes,31,3,3,1,2,,,,
Name,31,Mill Avenue,Mill Avenue,7th Street,,,,,
Distance,31,450,420,500,315,,,,
Speed,31,30,30,30,30,,,,
Time,31,10.2,9.5,11.4,7.2,,,,
Grade,31,0,0,0,0,,,,
Median,31,24,24,12,12,,,,
Offset,31,0,0,0,0,,,,
TWLTL,31,0,0,0,0,,,,
