link_id,from_node_id,to_node_id,lanes,length_m,free_speed_mps,geometry,main_link_id,is_turn_bay_link
121_122,121,121_122_bay_node,2,332.115342,20.1168,"POLYGON ((-111.952087 33.392907, -111.948517 33.392907, -111.948517 33.392973, -111.952088 33.392973, -111.952087 33.392907))",121_122,False
121_122_bay,121_122_bay_node,122,3,51.816,20.1168,"POLYGON ((-111.948517 33.392891, -111.94796 33.392891, -111.94796 33.39299, -111.948517 33.39299, -111.948517 33.392891))",121_122,True
121_388,121,388,2,75.302226,13.4112,"POLYGON ((-111.952127 33.392939, -111.9521 33.39226, -111.952022 33.392262, -111.952048 33.392941, -111.952127 33.392939))",121_388,False
121_5245,121,5245,2,133.496678,15.6464,"POLYGON ((-111.952048 33.392939, -111.952016 33.394143, -111.952094 33.394144, -111.952127 33.392941, -111.952048 33.392939))",121_5245,False
122_121,122,122_121_bay_node,3,316.875342,20.1168,"POLYGON ((-111.94796 33.39299, -111.951367 33.392989, -111.951367 33.392891, -111.94796 33.392891, -111.94796 33.39299))",122_121,False
122_121_bay,122_121_bay_node,121,4,67.056,20.1168,"POLYGON ((-111.951367 33.393006, -111.952088 33.393006, -111.952087 33.392874, -111.951367 33.392874, -111.951367 33.393006))",122_121,True
122_123,122,123,2,386.978092,20.1168,"POLYGON ((-111.94796 33.392907, -111.943799 33.392908, -111.943799 33.392974, -111.94796 33.392973, -111.94796 33.392907))",122_123,False
122_7051,122,7051,1,243.765826,13.4112,"POLYGON ((-111.947979 33.39294, -111.947979 33.390742, -111.94794 33.390742, -111.94794 33.39294, -111.947979 33.39294))",122_7051,False
122_7268,122,7268,1,243.765825,13.4112,"POLYGON ((-111.94794 33.39294, -111.94794 33.395139, -111.94798 33.395139, -111.947979 33.39294, -111.94794 33.39294))",122_7268,False
123_122,123,123_122_bay_node,3,339.734092,20.1168,"POLYGON ((-111.943799 33.39299, -111.947452 33.39299, -111.947452 33.392891, -111.943799 33.392891, -111.943799 33.39299))",123_122,False
