[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,374,975,0,,,,,,
2,1,1629,969,0,,,,,,
3,0,1001,972,0,,,,,,
4,1,990,-285,0,,,,,,
5,2,1013,2244,0,,,,,,
6,2,3408,8965,0,,,,,,
7,1,10366,8913,0,,,,,,
8,3,7477,8957,0,,,,,,
9,1,8840,7023,0,,,,,,
10,1,1648,10768,0,,,,,,
Peds,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Bicycles,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
PHF,3,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,
Growth,3,100,100,100,100,100,100,100,100,100,100,100,100,,,,
HeavyVehicles,3,2,2,2,2,2,2,2,2,2,2,2,2,,,,
BusStops,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Midblock,3,,0,,,0,,,0,,,0,,,,,
Distance,3,,1257,,,1272,,,627,,,628,,,,,
TravelTime,3,,28.6,,,28.9,,,14.3,,,14.3,,,,,
Right Channeled,3,,,0,,,0,,,0,,,0,,,,
Alignment,3,0,0,1,0,0,1,0,0,1,0,0,1,,,,
Enter Blocked,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
HeadwayFact,3,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,
Turning Speed,3,15,60,9,15,60,9,15,60,9,15,60,9,,,,
FirstDetect,3,20,100,,20,100,,20,100,20,20,100,,,,,
LastDetect,3,0,0,,0,0,,0,0,0,0,0,,,,,
DetectPhase1,3,2,2,,6,6,,4,4,4,8,8,,,,,
DetectPhase2,3,0,0,,0,0,,0,0,0,0,0,,,,,
DetectPhase3,3,0,0,,0,0,,0,0,0,0,0,,,,,
DetectPhase4,3,0,0,,0,0,,0,0,0,0,0,,,,,
SwitchPhase,3,0,0,,0,0,,0,0,0,0,0,,,,,
numDetects,3,1,2,,1,2,,1,2,1,1,2,,,,,
DetectPos1,3,0,0,,0,0,,0,0,0,0,0,,,,,
DetectSize1,3,20,6,,20,6,,20,6,20,20,6,,,,,
DetectType1,3,3,3,,3,3,,3,3,3,3,3,,,,,
DetectExtend1,3,0,0,,0,0,,0,0,0,0,0,,,,,
DetectQueue1,3,0,0,,0,0,,0,0,0,0,0,,,,,
DetectDelay1,3,0,0,,0,0,,0,0,0,0,0,,,,,
DetectPos2,3,,94,,,94,,,94,,,94,,,,,
DetectSize2,3,,6,,,6,,,6,,,6,,,,,
DetectType2,3,,3,,,3,,,3,,,3,,,,,
DetectExtend2,3,,0,,,0,,,0,,,0,,,,,
Exit Lanes,3,,0,,,0,,,0,,,0,,,,,
CBD,3,,0,,,,,,,,,,,,,,
Lane Group Flow,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Up Node,8,,,,,,,,17,17,7,7,,9,9,,
Dest Node,8,,,,,,,,7,9,9,17,,17,7,,
Lanes,8,,,,,,,,1,0,0,1,,1,0,,
Shared,8,,,,,,,,0,,0,0,,2,,,
Width,8,,,,,,,,12,12,12,12,,12,12,,
Storage,8,,,,,,,,,,,,,,,,
Taper,8,,,,,,,,,,,,,,,,
StLanes,8,,,,,,,,,,,,,,,,
Grade,8,,,,,,,,,,,,,,,,
Speed,8,,,,,,,,30,,,30,,30,,,
SignControl,8,,,,,,,,0,,,0,,1,,,
IdealFlow,8,,,,,,,,1900,1900,1900,1900,,1900,1900,,
SatFlow,8,,,,,,,,1863,0,0,1863,,1863,0,,
SatFlowPerm,8,,,,,,,,1863,0,0,1863,,1863,0,,
Allow RTOR,8,,,,,,,,1,1,1,1,,1,1,,
SatFlowRTOR,8,,,,,,,,0,0,0,0,,0,0,,
Volume,8,,,,,,,,0,0,0,0,,0,0,,
Peds,8,,,,,,,,0,0,0,0,,0,0,,
Bicycles,8,,,,,,,,0,0,0,0,,0,0,,
PHF,8,,,,,,,,0.92,0.92,0.92,0.92,,0.92,0.92,,
Growth,8,,,,,,,,100,100,100,100,,100,100,,
HeavyVehicles,8,,,,,,,,2,2,2,2,,2,2,,
BusStops,8,,,,,,,,0,0,0,0,,0,0,,
Midblock,8,,,,,,,,0,,,0,,0,,,
Distance,8,,,,,,,,1137,,,2889,,2366,,,
TravelTime,8,,,,,,,,25.8,,,65.7,,53.8,,,
Right Channeled,8,,,,,,,,,0,,0,,,0,,
Alignment,8,,,,,,,,0,1,0,0,,0,1,,
Enter Blocked,8,,,,,,,,0,0,0,0,,0,0,,
HeadwayFact,8,,,,,,,,1.00,1.00,1.00,1.00,,1.00,1.00,,
Turning Speed,8,,,,,,,,60,9,15,60,,15,9,,
FirstDetect,8,,,,,,,,100,,,100,,20,,,
LastDetect,8,,,,,,,,0,,,0,,0,,,
Exit Lanes,8,,,,,,,,0,,,0,,0,,,
CBD,8,,,,,,,,,,,,,0,,,
Lane Group Flow,8,,,,,,,,0,0,0,0,,0,0,,
Up Node,12,13,13,13,11,11,11,10,10,10,6,6,6,,,,
Dest Node,12,10,11,6,6,13,10,11,6,13,13,10,11,,,,
Lanes,12,0,1,1,0,1,0,1,2,0,1,2,0,,,,
Shared,12,0,1,,0,3,,0,0,,0,0,,,,,
Width,12,12,12,12,12,12,12,12,12,12,12,12,12,,,,
Storage,12,,,,,,,85,,,150,,,,,,
Taper,12,,,,,,,25,,,25,,,,,,
StLanes,12,,,,,,,1,,,1,,,,,,
Grade,12,,,,,,,,,,,,,,,,
Speed,12,,30,,,30,,,30,,,30,,,,,
Phase1,12,,2,,,6,,,4,,3,8,,,,,
PermPhase1,12,2,,2,6,,,4,,,8,,,,,,
LostTime,12,4.5,4.5,4.5,4.5,4.5,4,4.5,4.5,4,4.5,4.5,4,,,,
Lost Time Adjust,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,
IdealFlow,12,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,
SatFlow,12,0,1863,1863,0,1863,0,1863,3539,0,1863,3539,0,,,,
SatFlowPerm,12,0,1863,1863,0,1863,0,1863,3539,0,1863,3539,0,,,,
Allow RTOR,12,1,1,1,1,1,1,1,1,1,1,1,1,,,,
SatFlowRTOR,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Volume,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Peds,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Bicycles,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,
PHF,12,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,
Growth,12,100,100,100,100,100,100,100,100,100,100,100,100,,,,
HeavyVehicles,12,2,2,2,2,2,2,2,2,2,2,2,2,,,,
BusStops,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Midblock,12,,0,,,0,,,0,,,0,,,,,
Distance,12,,1258,,,94,,,1953,,,686,,,,,
TravelTime,12,,28.6,,,2.1,,,44.4,,,15.6,,,,,
Right Channeled,12,,,0,,,0,,,0,,,0,,,,
Alignment,12,0,0,1,0,0,1,0,0,1,0,0,1,,,,
Enter Blocked,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,
HeadwayFact,12,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,
Turning Speed,12,15,60,9,15,60,9,15,60,9,15,60,9,,,,
FirstDetect,12,20,100,20,20,100,,20,100,,20,100,,,,,
LastDetect,12,0,0,0,0,0,,0,0,,0,0,,,,,
DetectPhase1,12,2,2,2,6,6,,4,4,,3,8,,,,,
DetectPhase2,12,0,0,0,0,0,,0,0,,0,0,,,,,
DetectPhase3,12,0,0,0,0,0,,0,0,,0,0,,,,,
DetectPhase4,12,0,0,0,0,0,,0,0,,0,0,,,,,
SwitchPhase,12,0,0,0,0,0,,0,0,,0,0,,,,,
numDetects,12,1,2,1,1,2,,1,2,,1,2,,,,,
DetectPos1,12,0,0,0,0,0,,0,0,,0,0,,,,,
DetectSize1,12,20,6,20,20,6,,20,6,,20,6,,,,,
DetectType1,12,3,3,3,3,3,,3,3,,3,3,,,,,
DetectExtend1,12,0,0,0,0,0,,0,0,,0,0,,,,,
DetectQueue1,12,0,0,0,0,0,,0,0,,0,0,,,,,
DetectDelay1,12,0,0,0,0,0,,0,0,,0,0,,,,,
DetectPos2,12,,94,,,94,,,94,,,94,,,,,
DetectSize2,12,,6,,,6,,,6,,,6,,,,,
DetectType2,12,,3,,,3,,,3,,,3,,,,,
DetectExtend2,12,,0,,,0,,,0,,,0,,,,,
Exit Lanes,12,,0,,,0,,,0,,,0,,,,,
CBD,12,,0,,,,,,,,,,,,,,
Lane Group Flow,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Up Node,17,18,,18,,,,,6,6,8,8,,,,,
Dest Node,17,6,,8,,,,,8,18,18,6,,,,,
