[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
Lanes,17,,,,1,,1,1,2,,,2,1,,
Shared,17,,,,0,,,0,0,,,0,,,
Width,17,,,,12,,12,12,12,,,12,12,,
Storage,17,,,,,,,,,,,,250,,
Taper,17,,,,,,,,,,,,25,,
StLanes,17,,,,,,,,,,,,1,,
Grade,17,,,,,,,,,,,,,,
Speed,17,,,,30,,,,30,,,30,,,
Phase1,17,,,,6,,,7,4,,,8,,,
PermPhase1,17,,,,,,6,,,,,,8,,
LostTime,17,,,,4.5,,4.5,4.5,4.5,,,4.5,4.5,,
Lost Time Adjust,17,,,,0,,0,0,0,,,0,0,,
IdealFlow,17,,,,1900,,1900,1900,1900,,,1900,1900,,
SatFlow,17,,,,1863,,1863,1863,3539,,,3539,1863,,
SatFlowPerm,17,,,,1863,,1863,1863,3539,,,3539,1863,,
Allow RTOR,17,,,,1,,1,1,1,,,1,1,,
SatFlowRTOR,17,,,,0,,0,0,0,,,0,0,,
Volume,17,,,,0,,0,0,0,,,0,0,,
Peds,17,,,,0,,0,0,0,,,0,0,,
Bicycles,17,,,,0,,0,0,0,,,0,0,,
PHF,17,,,,0.92,,0.92,0.92,0.92,,,0.92,0.92,,
Growth,17,,,,100,,100,100,100,,,100,100,,
HeavyVehicles,17,,,,2,,2,2,2,,,2,2,,
BusStops,17,,,,0,,0,0,0,,,0,0,,
Midblock,17,,,,0,,,,0,,,0,,,
Distance,17,,,,572,,,,3025,,,741,,,
TravelTime,17,,,,13.0,,,,68.8,,,16.8,,,
Right Channeled,17,,,,,,0,,0,,,,0,,
Alignment,17,,,,0,,1,0,0,,,0,1,,
Enter Blocked,17,,,,0,,0,0,0,,,0,0,,
HeadwayFact,17,,,,1.00,,1.00,1.00,1.00,,,1.00,1.00,,
