[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,05/19/2021

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,3,2405,-1648,0,,,,,,
2,3,2398,-2913,0,,,,,,
3,0,2390,-4253,0,,,,,,
4,3,4431,-4273,0,,,,,,
5,3,4910,-4270,0,,,,,,
6,3,7680,-4267,0,,,,,,
7,3,2395,-3490,0,,,,,,
8,3,2387,-3846,0,,,,,,
9,3,3085,-4256,0,,,,,,
10,3,3770,-4260,0,,,,,,
11,1,3431,-2891,0,,,,,,
12,1,2411,-701,0,,,,,,
13,1,7681,-3011,0,,,,,,
14,1,1571,-4251,0,,,,,,
15,1,4419,-4964,0,,,,,,
16,1,9421,-4271,0,,,,,,
17,1,4896,-4948,0,,,,,,
18,1,7677,-4784,0,,,,,,
19,1,81,-1641,0,,,,,,
Mandatory Distance2,26,,,,1320
Positioning Distance,26,,,,880
Positioning Distance2,26,,,,1760
Curve Pt X,26,,,,
Curve Pt Y,26,,,,
Curve Pt Z,26,,,,
Link Is Hidden,26,,,,false
Street Name Is Hidden,26,,,,false
Up ID,27,10,,,
Lanes,27,1,,,
Name,27,Driveway D,,,
Distance,27,445,,,
Speed,27,30,,,
Time,27,10.1,,,
Grade,27,0,,,
Median,27,0,,,
Offset,27,0,,,
TWLTL,27,0,,,
Crosswalk Width,27,16,,,
Mandatory Distance,27,200,,,
Mandatory Distance2,27,1320,,,
Positioning Distance,27,880,,,
Positioning Distance2,27,1760,,,
Curve Pt X,27,,,,
Curve Pt Y,27,,,,
Curve Pt Z,27,,,,
Link Is Hidden,27,false,,,
Street Name Is Hidden,27,false,,,

[Lanes]
Lane Group Data
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,PED,HOLD
Up Node,1,2,2,2,12,12,12,19,19,19,21,21,21,,
Dest Node,1,19,12,21,21,2,19,12,21,2,2,19,12,,
Lanes,1,1,2,0,1,2,1,0,1,0,0,1,0,,
Shared,1,0,2,,0,0,,0,3,,0,3,,,
Width,1,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,1,300,,,300,,300,,,,,,,,
Taper,1,25,,,25,,25,,,,,,,,
StLanes,1,1,,,1,,1,,,,,,,,
Grade,1,,,,,,,,,,,,,,
Speed,1,,45,,,45,,,25,,,25,,,
SignControl,1,,0,,,0,,,1,,,1,,,
IdealFlow,1,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,1,1770,3536,0,1770,3539,1583,0,1635,0,0,1770,0,,
SatFlowPerm,1,1770,3536,0,1770,3539,1583,0,1635,0,0,1770,0,,
Allow RTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Volume,1,100,1081,9,4,1376,44,12,2,108,7,0,0,,
Peds,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,1,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,1,0.85,0.90,0.80,0.80,0.90,0.80,0.80,0.80,0.85,0.80,0.80,0.80,,
Growth,1,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,1,2,2,2,2,2,2,2,2,2,2,2,2,,
BusStops,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,1,,0,,,0,,,0,,,0,,,
Distance,1,,1265,,,947,,,2324,,,1046,,,
TravelTime,1,,19.2,,,14.3,,,63.4,,,28.5,,,
Right Channeled,1,,,0,,,0,,,0,,,0,,
Alignment,1,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,1,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,1,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,1,20,100,,20,100,20,20,100,,20,100,,,
LastDetect,1,0,0,,0,0,0,0,0,,0,0,,,
Exit Lanes,1,,0,,,0,,,0,,,0,,,
CBD,1,,0,,,,,,,,,,,,
Lane Group Flow,1,118,1212,0,5,1529,55,0,145,0,0,9,0,,
Up Node,2,7,7,7,1,1,1,26,26,26,11,11,11,,
Dest Node,2,26,1,11,11,7,26,1,11,7,7,26,1,,
Lanes,2,1,2,0,1,2,0,0,1,1,0,1,0,,
Shared,2,0,2,,0,2,,0,1,,0,3,,,
Width,2,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,2,300,,,300,,,,,100,,,,,
Taper,2,25,,,25,,,,,25,,,,,
StLanes,2,1,,,1,,,,,1,,,,,
Grade,2,,,,,,,,,,,,,,
Speed,2,,30,,,30,,,25,,,25,,,
SignControl,2,,0,,,0,,,1,,,1,,,
IdealFlow,2,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,2,1770,3539,0,1863,3529,0,0,1770,1583,0,1763,0,,
